epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,115132,0.9745,0.80922,0.10016,0.97172,1.20385,0.72925,0.84045,0.88884,0.58214,0.8216,0.87848,0.93702,0.90635,1.05082,0.2423,0.00776,0.70056,1.32619,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,116083,0.96614,0.79703,0.09951,0.96558,1.1978,0.73563,0.84323,0.89063,0.58436,0.82453,0.87614,0.939,0.90804,1.04992,0.24172,0.00759,0.6969,1.32538,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,117097,0.96528,0.7885,0.09875,0.95539,1.19674,0.74661,0.8446,0.89422,0.58869,0.82825,0.87848,0.93927,0.90854,1.04906,0.2414,0.00752,0.69386,1.32459,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,118119,0.96478,0.78116,0.0977,0.94667,1.1938,0.75504,0.84508,0.89664,0.59181,0.83593,0.87755,0.94104,0.91058,1.04791,0.24113,0.00716,0.69103,1.32382,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,119136,0.95975,0.78915,0.09677,0.93921,1.19297,0.76098,0.84761,0.89899,0.594,0.84448,0.87941,0.94164,0.91108,1.04712,0.24175,0.00731,0.68868,1.32329,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,120156,0.95917,0.78318,0.09672,0.93763,1.19249,0.76912,0.85158,0.90203,0.59703,0.84776,0.87819,0.94325,0.91305,1.04644,0.24249,0.00732,0.68525,1.32249,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,121179,0.95985,0.77691,0.09693,0.93102,1.19275,0.78166,0.85807,0.90583,0.59963,0.84839,0.88245,0.94519,0.91473,1.04492,0.24259,0.00716,0.68142,1.32125,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,122197,0.95293,0.77426,0.09681,0.92766,1.18686,0.78938,0.85875,0.90939,0.60347,0.85599,0.88223,0.94684,0.91629,1.04397,0.24229,0.0071,0.67839,1.32108,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,123215,0.95225,0.76485,0.09597,0.91844,1.18912,0.79413,0.86085,0.91311,0.6071,0.86206,0.88683,0.94809,0.91875,1.04316,0.24195,0.00707,0.67543,1.32048,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,124232,0.94444,0.76344,0.09721,0.90973,1.1829,0.80523,0.86456,0.91791,0.60985,0.85805,0.89147,0.95033,0.92109,1.04265,0.24067,0.00688,0.66959,1.31999,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,125252,0.94989,0.76264,0.09639,0.90859,1.18621,0.81599,0.86456,0.92259,0.61438,0.86622,0.89425,0.95212,0.92287,1.0424,0.24047,0.00673,0.66524,1.31955,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,126270,0.94854,0.75313,0.09538,0.90137,1.18577,0.82873,0.86642,0.92799,0.61849,0.87858,0.89425,0.9542,0.92484,1.04112,0.23991,0.00666,0.66029,1.31861,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,127288,0.94255,0.75878,0.09502,0.89486,1.18047,0.84476,0.86735,0.9329,0.62291,0.88317,0.89147,0.95586,0.92729,1.04074,0.24026,0.00697,0.6553,1.31848,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,128308,0.94157,0.76029,0.09428,0.89299,1.18155,0.85795,0.86844,0.93839,0.6273,0.89098,0.89518,0.9582,0.929,1.03988,0.23991,0.00678,0.64902,1.31788,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,129326,0.93349,0.75038,0.09418,0.8879,1.17862,0.88148,0.8692,0.94362,0.63202,0.90782,0.89518,0.96063,0.93103,1.03842,0.23968,0.00692,0.64333,1.31714,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
