epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,10791.8,1.04029,1.09312,0.12039,1.05611,1.23603,0.86011,0.859,0.9234,0.65401,0.91573,0.89425,0.95635,0.91323,1.00256,0.31274,0.00603,0.6764,1.24714,2.558e-05,2.558e-05,2.558e-05
76,11239.7,1.04658,1.10018,0.11876,1.05703,1.23396,0.85837,0.86019,0.923,0.65378,0.91668,0.89518,0.95643,0.91319,1.0025,0.31248,0.00602,0.67641,1.24733,2.525e-05,2.525e-05,2.525e-05
77,11687.5,1.03736,1.08559,0.11961,1.04668,1.23183,0.85798,0.86302,0.9226,0.65236,0.91372,0.89401,0.95651,0.91296,1.00221,0.31262,0.00598,0.67639,1.24748,2.492e-05,2.492e-05,2.492e-05
78,12135.3,1.02938,1.06242,0.11882,1.03447,1.22702,0.86051,0.85993,0.92211,0.6522,0.91022,0.89703,0.95657,0.91321,1.00199,0.31252,0.00595,0.67669,1.24761,2.459e-05,2.459e-05,2.459e-05
79,12582.8,1.035,1.1014,0.11608,1.0447,1.23189,0.86102,0.85993,0.92181,0.65148,0.91073,0.89703,0.95673,0.91373,1.00218,0.31204,0.00594,0.67596,1.24779,2.426e-05,2.426e-05,2.426e-05
80,13030.4,1.04015,1.08268,0.11872,1.05389,1.23072,0.85769,0.86099,0.92196,0.65181,0.91467,0.89493,0.95648,0.91353,1.00183,0.31178,0.00593,0.6752,1.24796,2.393e-05,2.393e-05,2.393e-05
81,13478.5,1.03303,1.066,0.11573,1.03885,1.229,0.85887,0.86178,0.92196,0.65108,0.91245,0.89703,0.95664,0.91375,1.00163,0.31141,0.00591,0.67457,1.24781,2.36e-05,2.36e-05,2.36e-05
82,13926.4,1.02973,1.08094,0.117,1.03525,1.22598,0.85888,0.85993,0.92161,0.65004,0.91405,0.89776,0.9567,0.91382,1.00178,0.31096,0.00585,0.67351,1.24835,2.327e-05,2.327e-05,2.327e-05
83,14374.2,1.03142,1.05653,0.11602,1.03297,1.22897,0.85823,0.85714,0.92122,0.6498,0.91485,0.90074,0.95677,0.9135,1.00196,0.31037,0.00582,0.67207,1.2486,2.294e-05,2.294e-05,2.294e-05
84,14822.6,1.01936,1.06107,0.11747,1.02653,1.21857,0.86078,0.86085,0.92249,0.6504,0.91529,0.90074,0.95732,0.91389,1.00192,0.31002,0.00582,0.66938,1.24863,2.261e-05,2.261e-05,2.261e-05
85,15268.6,1.02267,1.0641,0.11599,1.03058,1.21917,0.86174,0.86151,0.92339,0.65136,0.91378,0.90074,0.95747,0.91411,1.00182,0.30993,0.00571,0.66723,1.24871,2.228e-05,2.228e-05,2.228e-05
86,15715.5,1.01843,1.05765,0.11574,1.02764,1.21811,0.86148,0.86085,0.92317,0.6518,0.91099,0.90074,0.95751,0.91414,1.00186,0.30935,0.00579,0.66675,1.24888,2.195e-05,2.195e-05,2.195e-05
87,16163.6,1.01896,1.05232,0.11566,1.02882,1.22096,0.86055,0.85993,0.92247,0.65092,0.91143,0.90074,0.95738,0.91429,1.00214,0.3108,0.00585,0.66709,1.24889,2.162e-05,2.162e-05,2.162e-05
88,16612.4,1.01133,1.0413,0.11532,1.01924,1.21612,0.85783,0.862,0.92179,0.64969,0.91258,0.90062,0.95744,0.91418,1.00191,0.31029,0.00583,0.66742,1.24908,2.129e-05,2.129e-05,2.129e-05
89,17061.9,1.01182,1.02457,0.11454,1.0255,1.2118,0.85665,0.86479,0.92157,0.64996,0.91252,0.89796,0.95755,0.91469,1.00187,0.31082,0.00586,0.66642,1.24961,2.096e-05,2.096e-05,2.096e-05
90,17509.2,1.01294,1.03879,0.11472,1.01898,1.21746,0.85665,0.86481,0.92037,0.64907,0.91273,0.90074,0.95731,0.91425,1.00238,0.31026,0.00582,0.66744,1.24969,2.063e-05,2.063e-05,2.063e-05
91,17957.4,1.01299,1.03103,0.11263,1.01823,1.21836,0.85591,0.86515,0.92019,0.64877,0.91342,0.90041,0.95728,0.91371,1.00213,0.31007,0.0058,0.66702,1.24982,2.03e-05,2.03e-05,2.03e-05
92,18406,0.99897,1.01005,0.11357,1.00717,1.21384,0.85416,0.86386,0.91965,0.6485,0.91292,0.89796,0.95726,0.91363,1.00221,0.31039,0.00578,0.66683,1.24953,1.997e-05,1.997e-05,1.997e-05
93,18854.2,1.00839,1.01252,0.11455,1.01592,1.21222,0.85287,0.86576,0.91985,0.64896,0.91507,0.89951,0.95729,0.91392,1.0021,0.30951,0.00564,0.66561,1.2496,1.964e-05,1.964e-05,1.964e-05
94,19302.1,1.00369,1.04242,0.11438,1.01318,1.20946,0.85068,0.86669,0.92012,0.64855,0.91831,0.89981,0.95748,0.9143,1.00194,0.30904,0.00564,0.66477,1.24969,1.931e-05,1.931e-05,1.931e-05
95,19750.5,1.00643,1.01394,0.11432,1.01605,1.21505,0.84995,0.87228,0.92102,0.64934,0.91562,0.9026,0.95774,0.91434,1.00161,0.30668,0.00561,0.6625,1.24955,1.898e-05,1.898e-05,1.898e-05
96,20198.8,1.00611,1.03049,0.11354,1.01616,1.2155,0.8496,0.87511,0.92066,0.64843,0.91418,0.90074,0.95755,0.91448,1.00187,0.30656,0.00555,0.66246,1.24998,1.865e-05,1.865e-05,1.865e-05
97,20647.1,1.00332,1.02347,0.11295,1.01058,1.20734,0.85056,0.87117,0.9216,0.64995,0.91355,0.90186,0.95774,0.91499,1.00243,0.30614,0.00551,0.66049,1.25047,1.832e-05,1.832e-05,1.832e-05
98,21095.1,1.00029,1.01336,0.11328,1.00921,1.20872,0.84981,0.87128,0.92198,0.64981,0.91387,0.90557,0.95786,0.91526,1.00121,0.30561,0.00534,0.6593,1.24773,1.799e-05,1.799e-05,1.799e-05
99,21543.1,0.99773,1.02293,0.11272,1.0094,1.21081,0.84932,0.87318,0.92174,0.65153,0.91483,0.90676,0.95795,0.91517,1.00116,0.30528,0.00531,0.65886,1.24791,1.766e-05,1.766e-05,1.766e-05
100,21990.5,0.99157,1.01709,0.11322,1.00136,1.20708,0.85061,0.87291,0.92162,0.65112,0.91375,0.90415,0.95822,0.91552,1.00086,0.30463,0.00529,0.65805,1.248,1.733e-05,1.733e-05,1.733e-05
