epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
59,15693.9,0.94568,0.45146,0.09081,0.7339,0.01118,0.08319,0.9765,0.96383,0.97876,0.65121,0.97838,0.96569,0.98226,0.95959,1.07539,0.19648,0.01153,0.40608,0.02177,0,0.00018516,0.00018516,0.00018516
60,15956.1,0.93523,0.45522,0.08933,0.72578,0.01091,0.07379,0.97834,0.96376,0.98044,0.65258,0.98022,0.96562,0.98383,0.96103,1.07406,0.1964,0.0112,0.40312,0.02175,0,0.00018318,0.00018318,0.00018318
61,16218.5,0.93682,0.44892,0.08829,0.71976,0.011,0.07334,0.9783,0.9618,0.98045,0.65179,0.98019,0.96365,0.98369,0.9612,1.07227,0.19646,0.01087,0.40232,0.02172,0,0.0001812,0.0001812,0.0001812
62,16481.3,0.9297,0.44439,0.08815,0.71698,0.01094,0.08261,0.97715,0.96289,0.98024,0.65262,0.97903,0.96475,0.98357,0.96215,1.07103,0.19639,0.01052,0.40161,0.0217,0,0.00017922,0.00017922,0.00017922
63,16744.5,0.92185,0.44594,0.08663,0.709,0.01082,0.06894,0.9748,0.96197,0.97931,0.65335,0.97668,0.96382,0.9827,0.9616,1.06978,0.19633,0.01013,0.40445,0.02168,0,0.00017724,0.00017724,0.00017724
64,17006.9,0.92356,0.45003,0.08719,0.70652,0.01084,0.06998,0.97727,0.96104,0.97954,0.65385,0.97916,0.96289,0.9831,0.96205,1.06911,0.19624,0.00981,0.40415,0.02167,0,0.00017526,0.00017526,0.00017526
65,17269.9,0.91803,0.43674,0.08547,0.69857,0.01076,0.06356,0.9829,0.95977,0.98018,0.65292,0.9848,0.96162,0.98329,0.96214,1.06825,0.19616,0.0095,0.40087,0.02166,0,0.00017328,0.00017328,0.00017328
66,17532.9,0.91061,0.43725,0.08438,0.69588,0.01066,0.06396,0.98197,0.95981,0.98071,0.6536,0.98386,0.9615,0.98328,0.9623,1.0676,0.19632,0.00914,0.4004,0.02166,0,0.0001713,0.0001713,0.0001713
67,17795,0.90795,0.43455,0.08513,0.69368,0.01062,0.06012,0.98377,0.95612,0.98147,0.65441,0.98568,0.95798,0.98397,0.96295,1.06656,0.19609,0.00884,0.40008,0.02164,0,0.00016932,0.00016932,0.00016932
68,18058.1,0.90531,0.42414,0.08279,0.69262,0.01051,0.05646,0.98378,0.95632,0.9808,0.65401,0.98569,0.95818,0.98364,0.96235,1.0671,0.20615,0.00864,0.39947,0.02166,0,0.00016734,0.00016734,0.00016734
69,18320.7,0.90091,0.42322,0.08177,0.68371,0.01056,0.06536,0.98019,0.95547,0.98031,0.65368,0.98209,0.95733,0.98322,0.96175,1.06552,0.20846,0.00834,0.40178,0.02164,0,0.00016536,0.00016536,0.00016536
70,18583.6,0.89236,0.41784,0.08075,0.68142,0.01041,0.05661,0.98039,0.95455,0.98002,0.65515,0.9823,0.9564,0.98314,0.96109,1.06374,0.2084,0.00808,0.4024,0.02162,0,0.00016338,0.00016338,0.00016338
71,18846,0.88403,0.42244,0.08133,0.67473,0.01024,0.04465,0.97916,0.95874,0.98034,0.65533,0.98105,0.96059,0.98323,0.96169,1.06361,0.19834,0.00778,0.39963,0.02163,0,0.0001614,0.0001614,0.0001614
72,19109.1,0.89081,0.42214,0.08034,0.67029,0.01035,0.05217,0.97825,0.96197,0.98033,0.65786,0.98014,0.96382,0.98284,0.96176,1.06307,0.19846,0.00756,0.39788,0.02162,0,0.00015942,0.00015942,0.00015942
