epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,9472.67,1.03164,0.93775,0.1126,1.08512,1.22113,0.75366,0.81354,0.91054,0.59924,0.79162,0.86642,0.93704,0.90012,1.08025,0.27376,0.00673,0.72216,1.32434,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,10488.4,1.0329,0.93519,0.11303,1.08579,1.22453,0.75214,0.8154,0.91002,0.59902,0.79151,0.86635,0.93673,0.8996,1.08003,0.27263,0.00659,0.72135,1.32403,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,11515.3,1.02984,0.94172,0.11306,1.08628,1.22259,0.75353,0.81633,0.9106,0.59798,0.79084,0.86635,0.93742,0.89998,1.08098,0.27259,0.00668,0.72059,1.32611,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,12582.7,1.02732,0.93077,0.11269,1.08174,1.22001,0.75225,0.81633,0.91043,0.59939,0.79041,0.86735,0.93736,0.90156,1.07958,0.27246,0.00656,0.71999,1.32502,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,13671.5,1.01976,0.91412,0.11109,1.07755,1.21488,0.75053,0.81725,0.91014,0.60019,0.79187,0.86821,0.93785,0.90083,1.07874,0.27175,0.00646,0.71968,1.32424,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,14698.8,1.02081,0.91628,0.1105,1.07412,1.21798,0.75413,0.81818,0.9103,0.60006,0.79027,0.87013,0.93857,0.90115,1.07803,0.27142,0.00632,0.71845,1.32386,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,15715.8,1.0162,0.91107,0.11173,1.07704,1.2147,0.75435,0.81633,0.90958,0.6001,0.7919,0.87192,0.93808,0.90151,1.07663,0.27031,0.00623,0.71823,1.32301,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,16751.2,1.01404,0.90528,0.11017,1.07242,1.21428,0.75224,0.81911,0.90982,0.59992,0.79222,0.87007,0.93829,0.90126,1.07575,0.26959,0.00615,0.71619,1.32241,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,17795.9,1.01174,0.89742,0.11057,1.06607,1.21421,0.75542,0.81818,0.90998,0.59933,0.79126,0.86827,0.93828,0.90183,1.07459,0.26879,0.00629,0.71565,1.32181,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,18858.2,1.00958,0.89993,0.11044,1.0708,1.21251,0.75178,0.81818,0.9097,0.59892,0.78911,0.87473,0.93812,0.90199,1.07403,0.2681,0.00626,0.71562,1.32143,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,19917.2,1.0084,0.89059,0.10873,1.06196,1.21087,0.75614,0.81911,0.91076,0.59804,0.79245,0.87106,0.93922,0.9028,1.07437,0.2676,0.00624,0.71345,1.32196,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,20954.4,1.00483,0.89774,0.10898,1.06635,1.20799,0.75587,0.81911,0.91094,0.59976,0.7926,0.86827,0.94004,0.90441,1.07324,0.26736,0.0061,0.7126,1.32123,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,21971.4,1.00542,0.88674,0.10884,1.05849,1.20595,0.75999,0.81725,0.91111,0.60159,0.79482,0.8692,0.94048,0.90451,1.07236,0.26665,0.00598,0.71128,1.32057,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,23003.6,0.99872,0.87737,0.10796,1.06227,1.20342,0.7566,0.81891,0.91106,0.60213,0.79534,0.87199,0.94071,0.90447,1.0713,0.26608,0.00592,0.71092,1.32,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,24093.2,0.99944,0.86189,0.10692,1.05815,1.20302,0.75305,0.81911,0.91095,0.59948,0.79334,0.87199,0.94106,0.9055,1.07003,0.26609,0.00594,0.70944,1.31882,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,1018.78,0.99178,0.84236,0.1065,1.05238,1.20398,0.75714,0.81911,0.91116,0.59999,0.78864,0.87199,0.94026,0.90594,1.06985,0.26591,0.00597,0.70943,1.31869,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,2015.94,0.99774,0.87187,0.10778,1.05728,1.20322,0.75248,0.82004,0.91101,0.60244,0.79217,0.87291,0.94077,0.90521,1.06731,0.26431,0.00565,0.70833,1.31607,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,3017.29,0.99374,0.86007,0.10744,1.05368,1.20142,0.75573,0.8208,0.91136,0.60236,0.79234,0.87384,0.94049,0.90548,1.06684,0.26394,0.00569,0.70829,1.31599,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,4010.04,0.99512,0.86237,0.10755,1.05492,1.20092,0.75565,0.82096,0.91165,0.60325,0.794,0.87477,0.94083,0.90483,1.06632,0.26359,0.00571,0.70786,1.31564,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,4999.99,0.99491,0.8519,0.10678,1.0557,1.20336,0.75457,0.82189,0.91203,0.60359,0.79171,0.87384,0.94079,0.90501,1.06556,0.26327,0.00567,0.70751,1.31536,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,5988.82,0.98708,0.83974,0.10581,1.05025,1.19479,0.75457,0.82189,0.91246,0.60447,0.79206,0.8757,0.94099,0.90531,1.06461,0.26286,0.00571,0.70779,1.3147,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,6977.94,0.98915,0.85254,0.10618,1.05035,1.19891,0.75348,0.82223,0.91291,0.60506,0.79209,0.87647,0.94129,0.90479,1.06383,0.26221,0.00576,0.70445,1.31419,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,7970.54,0.98729,0.857,0.1054,1.05022,1.19865,0.75179,0.82375,0.91338,0.60569,0.79042,0.87755,0.94134,0.9052,1.06371,0.26184,0.00577,0.70462,1.31428,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,8961.42,0.98135,0.84499,0.10478,1.04552,1.19061,0.75131,0.82391,0.91296,0.60607,0.79164,0.8811,0.94089,0.90496,1.06318,0.26146,0.00575,0.70411,1.31444,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,9951.33,0.9775,0.8362,0.1041,1.04498,1.19199,0.75366,0.82872,0.91289,0.60562,0.79081,0.88312,0.94119,0.90552,1.0627,0.26108,0.00573,0.70242,1.31397,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,10942.3,0.98163,0.83574,0.10472,1.04742,1.19386,0.75262,0.83024,0.9136,0.60553,0.78867,0.88219,0.94098,0.90478,1.06174,0.26066,0.00577,0.70096,1.31361,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,11934.3,0.97417,0.82096,0.10305,1.03968,1.18861,0.75299,0.83024,0.91294,0.60499,0.78923,0.88574,0.94084,0.90536,1.06073,0.25997,0.00569,0.70039,1.31295,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
