epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
61,10623.3,1.03503,0.55484,0.10771,0.87944,0.01221,0.17545,0.96698,0.94991,0.9752,0.63971,0.97509,0.95733,0.97815,0.95487,1.11198,0.21553,0.01568,0.43591,0.02262,0,0.000302,0.000302,0.000302
62,10795.4,1.03999,0.55585,0.10564,0.87112,0.01221,0.17581,0.96785,0.94939,0.97567,0.64007,0.97612,0.9564,0.97813,0.95409,1.1109,0.21509,0.01544,0.43374,0.02259,0,0.0002987,0.0002987,0.0002987
63,10967.5,1.04575,0.56366,0.10537,0.87436,0.01226,0.16264,0.96839,0.94898,0.97625,0.64169,0.97727,0.95728,0.97793,0.95447,1.11019,0.21464,0.01526,0.43386,0.02258,0,0.0002954,0.0002954,0.0002954
64,11139.3,1.0354,0.54674,0.10467,0.87148,0.01221,0.15981,0.96235,0.94839,0.96957,0.6404,0.97536,0.95467,0.97383,0.95326,1.10963,0.21416,0.0152,0.43564,0.02256,0,0.0002921,0.0002921,0.0002921
65,11311.5,1.0403,0.54744,0.10446,0.86765,0.01227,0.13938,0.9633,0.94957,0.97214,0.641,0.97259,0.95445,0.97542,0.95472,1.11028,0.21372,0.01516,0.43303,0.02257,0,0.0002888,0.0002888,0.0002888
66,11484.3,1.03117,0.5425,0.10455,0.87107,0.01214,0.14725,0.9651,0.94905,0.97128,0.64172,0.97354,0.95555,0.97401,0.95328,1.10961,0.21347,0.01502,0.43473,0.02255,0,0.0002855,0.0002855,0.0002855
67,11656.6,1.02561,0.54146,0.10375,0.86229,0.01207,0.11992,0.96671,0.94898,0.97087,0.64132,0.97473,0.9564,0.97368,0.95328,1.10885,0.21333,0.01484,0.43271,0.02254,0,0.0002822,0.0002822,0.0002822
68,11829.6,1.02908,0.5499,0.10326,0.86731,0.01207,0.14122,0.96709,0.95083,0.96867,0.64054,0.97726,0.95679,0.97231,0.9519,1.10832,0.21342,0.01475,0.43223,0.02253,0,0.0002789,0.0002789,0.0002789
69,12001.2,1.02502,0.54282,0.10284,0.86441,0.01205,0.12069,0.96512,0.94964,0.96866,0.64094,0.97722,0.95522,0.9721,0.95159,1.10813,0.21366,0.01461,0.43497,0.02254,0,0.0002756,0.0002756,0.0002756
70,12173.1,1.02964,0.53488,0.10282,0.86077,0.01211,0.09574,0.96871,0.94765,0.96933,0.64079,0.97633,0.95658,0.97207,0.95163,1.10698,0.21323,0.01448,0.43594,0.02253,0,0.0002723,0.0002723,0.0002723
71,12345.7,1.02123,0.53413,0.10181,0.85112,0.01207,0.12122,0.96984,0.94712,0.96929,0.63954,0.97869,0.95547,0.97243,0.9517,1.10663,0.21336,0.01449,0.43351,0.02254,0,0.000269,0.000269,0.000269
72,12517.4,1.01462,0.53537,0.10272,0.85118,0.01195,0.13288,0.96527,0.95083,0.96817,0.63885,0.97441,0.95918,0.97141,0.9506,1.10663,0.21327,0.0145,0.43606,0.02253,0,0.0002657,0.0002657,0.0002657
73,12688.9,1.01775,0.54249,0.1023,0.85087,0.01194,0.09573,0.96605,0.95023,0.9683,0.63888,0.97725,0.95627,0.97122,0.95065,1.10571,0.21309,0.01446,0.43552,0.02251,0,0.0002624,0.0002624,0.0002624
74,12861.3,1.01665,0.52566,0.1009,0.85348,0.01192,0.07675,0.96901,0.94991,0.96982,0.641,0.97632,0.95619,0.97215,0.95202,1.10527,0.21322,0.01439,0.43472,0.02251,0,0.0002591,0.0002591,0.0002591
75,13034.3,1.0141,0.52149,0.0994,0.85244,0.01196,0.09426,0.96667,0.94898,0.97175,0.64228,0.97612,0.95826,0.97398,0.95378,1.10464,0.21343,0.01428,0.43167,0.0225,0,0.0002558,0.0002558,0.0002558
76,13205,1.01163,0.52223,0.09886,0.84386,0.0118,0.09328,0.96536,0.95083,0.97157,0.643,0.97522,0.9564,0.97413,0.95377,1.10462,0.21314,0.01415,0.43266,0.0225,0,0.0002525,0.0002525,0.0002525
77,13375.3,1.01013,0.52381,0.09839,0.84448,0.01193,0.07848,0.96523,0.9527,0.97061,0.64238,0.97661,0.9564,0.97369,0.95321,1.10445,0.21332,0.01395,0.43303,0.02249,0,0.0002492,0.0002492,0.0002492
78,13545.4,1.0073,0.52031,0.09837,0.849,0.01187,0.08091,0.9664,0.94898,0.9711,0.64135,0.97625,0.95344,0.97374,0.95342,1.10362,0.21441,0.01388,0.43152,0.0225,0,0.0002459,0.0002459,0.0002459
79,13716.2,1.00768,0.51905,0.09926,0.84628,0.01186,0.08051,0.96788,0.95051,0.97163,0.64227,0.97546,0.95362,0.97485,0.95386,1.10272,0.21555,0.01373,0.43485,0.02247,0,0.0002426,0.0002426,0.0002426
80,13886.5,1.00076,0.52221,0.09764,0.8403,0.01168,0.06894,0.96711,0.94898,0.97135,0.64224,0.97444,0.955,0.97475,0.95357,1.10193,0.21555,0.01365,0.43546,0.02244,0,0.0002393,0.0002393,0.0002393
81,14057.5,1.01441,0.51812,0.09665,0.83559,0.01188,0.06057,0.96972,0.9505,0.97147,0.64355,0.97759,0.95176,0.97464,0.95387,1.10132,0.21549,0.01358,0.43486,0.02244,0,0.000236,0.000236,0.000236
